1,NCT02414958,Inclusion,male or female patient receiving insulin for the treatment of documented diagnosis of t1dm for at least 1 year at the time of visit 1,Observation,Person,C0025266,male,False,False,
1,NCT02414958,Inclusion,male or female patient receiving insulin for the treatment of documented diagnosis of t1dm for at least 1 year at the time of visit 1,Observation,Condition,C2024467,time,False,False,greater_equal 1 year,,
1,NCT02414958,Inclusion,male or female patient receiving insulin for the treatment of documented diagnosis of t1dm for at least 1 year at the time of visit 1,Observation,Procedure,C1301725,documented,False,False,,,
1,NCT02414958,Inclusion,male or female patient receiving insulin for the treatment of documented diagnosis of t1dm for at least 1 year at the time of visit 1,Observation,Observation,C0150905,female patient,False,False,,,
1,NCT02414958,Inclusion,male or female patient receiving insulin for the treatment of documented diagnosis of t1dm for at least 1 year at the time of visit 1,Observation,Observation,C0021641;C0202098;C1533581;C1145751;C1579433;C2739803,insulin,False,False,,,
2,NCT02414958,Inclusion,fasting c-peptide value of < 0.7 ng / ml ( 0.223 nmol / l ) at visit 2 measured by the central laboratory,Observation,Drug,C0719205,central,False,False,,,
2,NCT02414958,Inclusion,fasting c-peptide value of < 0.7 ng / ml ( 0.223 nmol / l ) at visit 2 measured by the central laboratory,Observation,Observation,C3541902,measured,False,False,,,
2,NCT02414958,Inclusion,fasting c-peptide value of < 0.7 ng / ml ( 0.223 nmol / l ) at visit 2 measured by the central laboratory,Observation,Observation,C1697786;C1571737,laboratory,False,False,,,
2,NCT02414958,Inclusion,fasting c-peptide value of < 0.7 ng / ml ( 0.223 nmol / l ) at visit 2 measured by the central laboratory,Observation,Other,C0015663;C1550565,fasting,False,False,,,
2,NCT02414958,Inclusion,fasting c-peptide value of < 0.7 ng / ml ( 0.223 nmol / l ) at visit 2 measured by the central laboratory,Observation,Other,C0006558;C0202100,c-peptide,False,False,,lower 0.7 ng/ml,
3,NCT02414958,Inclusion,use of , and be willing , based on the investigator judgement , to continue throughout the duration of the trial , either :,Other,,,,,,,,
4,NCT02414958,Inclusion,mdi of insulin consisting of at least one basal insulin injection and at least three daily bolus injections or,Drug Exposure,Drug,C0650607,basal insulin,False,False,,,
4,NCT02414958,Inclusion,mdi of insulin consisting of at least one basal insulin injection and at least three daily bolus injections or,Drug Exposure,Procedure,C1511237,bolus,False,False,,,
4,NCT02414958,Inclusion,mdi of insulin consisting of at least one basal insulin injection and at least three daily bolus injections or,Drug Exposure,Observation,C0021641;C0202098;C1533581;C1145751;C1579433;C2739803,insulin,False,False,,,
5,NCT02414958,Inclusion,csii of any insulin type ; with at least 5 months experience of using csii prior to visit 1,Drug Exposure,Drug,C0457592,insulin type,False,False,greater_equal 5 months,,
6,NCT02414958,Inclusion,hba1c > / = 7.5 % and < / = 10.0 % at visit 5 measured by the central laboratory,Drug Exposure,Drug,C0719205,central,False,False,,,
6,NCT02414958,Inclusion,hba1c > / = 7.5 % and < / = 10.0 % at visit 5 measured by the central laboratory,Drug Exposure,Observation,C0202054,hba1c,False,False,,,greater_equal 7.5 %; lower_equal 10.0 %
6,NCT02414958,Inclusion,hba1c > / = 7.5 % and < / = 10.0 % at visit 5 measured by the central laboratory,Drug Exposure,Observation,C3541902,measured,False,False,,,
6,NCT02414958,Inclusion,hba1c > / = 7.5 % and < / = 10.0 % at visit 5 measured by the central laboratory,Drug Exposure,Observation,C1697786;C1571737,laboratory,False,False,,,
7,NCT02414958,Inclusion,age > / = 18 years at visit 1,Person,Person,C0001779,age,False,False,greater_equal 18 years
8,NCT02414958,Inclusion,additional may apply,Other,,,,,,,,
9,NCT02414958,Exclusion,history of t2dm ; maturity onset diabetes of the young ( mody ) ; pancreatic surgery or chronic pancreatitis,Condition Occurrence,Condition,C0011860,maturity onset diabetes,False,False,,,
9,NCT02414958,Exclusion,history of t2dm ; maturity onset diabetes of the young ( mody ) ; pancreatic surgery or chronic pancreatitis,Condition Occurrence,Condition,C0342276,mody,False,False,,,
9,NCT02414958,Exclusion,history of t2dm ; maturity onset diabetes of the young ( mody ) ; pancreatic surgery or chronic pancreatitis,Condition Occurrence,Condition,C0149521,chronic pancreatitis,False,False,,,
9,NCT02414958,Exclusion,history of t2dm ; maturity onset diabetes of the young ( mody ) ; pancreatic surgery or chronic pancreatitis,Condition Occurrence,Procedure,C2033062,pancreatic surgery,False,False,,,
10,NCT02414958,Exclusion,pancreas ; pancreatic islet cells or renal transplant recipient,Condition Occurrence,Condition,C0022131,pancreatic islet,False,False,,,
10,NCT02414958,Exclusion,pancreas ; pancreatic islet cells or renal transplant recipient,Condition Occurrence,Procedure,C0022671,renal transplant,False,False,,,
10,NCT02414958,Exclusion,pancreas ; pancreatic islet cells or renal transplant recipient,Condition Occurrence,Other,C0030286;C0347284;C0869826;C0030274;C0813176;C0771711;C1278931,pancreas,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Condition,C2756986,alpha-glucosidase inhibitors,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Condition,C2257086,pre,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Drug,C0025598,metformin,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Drug,C0537551,pramlintide,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Drug,C3537244,insulins,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Drug,C0650607,basal insulin,True,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Procedure,C1511237,bolus,True,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Observation,C0021641;C0202098;C1533581;C1145751;C1579433;C2739803,insulin,False,False,,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Observation,C0021641;C0202098;C1533581;C1145751;C1579433;C2739803,insulin,True,False,lower 3 months,,
11,NCT02414958,Exclusion,t1dm treatment with any other antihyperglycaemic drug ( eg metformin ; alpha-glucosidase inhibitors ; glp-1 analogues ; sglt-2 inhibitors ; pramlintide ; inhaled insulin ; pre-mixed insulins etc ; ) except subcutaneous basal insulin and bolus insulin within 3 months prior to visit 1,Drug Exposure,Other,C0013227;C1254351;C0740721,drug,False,False,,,
12,NCT02414958,Exclusion,occurrence of severe hypoglycaemia involving coma / unconsciousness or seizure that required hospitalisation or hypoglycaemia-related treatment by an emergency physician or paramedic within 3 months prior to visit 1 and until randomisation,Condition Occurrence,Condition,C0009421;C0543874;C3146279,coma,False,False,,,
12,NCT02414958,Exclusion,occurrence of severe hypoglycaemia involving coma / unconsciousness or seizure that required hospitalisation or hypoglycaemia-related treatment by an emergency physician or paramedic within 3 months prior to visit 1 and until randomisation,Condition Occurrence,Condition,C0445223,related,False,False,lower 3 months,,
12,NCT02414958,Exclusion,occurrence of severe hypoglycaemia involving coma / unconsciousness or seizure that required hospitalisation or hypoglycaemia-related treatment by an emergency physician or paramedic within 3 months prior to visit 1 and until randomisation,Condition Occurrence,Other,C1547231;C1547227;C1561581,severe,False,False,,,
12,NCT02414958,Exclusion,occurrence of severe hypoglycaemia involving coma / unconsciousness or seizure that required hospitalisation or hypoglycaemia-related treatment by an emergency physician or paramedic within 3 months prior to visit 1 and until randomisation,Condition Occurrence,Other,C3245502;C3245501;C1619636;C1546857,required,False,False,lower 3 months,,
13,NCT02414958,Exclusion,occurence of dka within 3 months prior to visit 1 and until randomisation,Condition Occurrence,Condition,C0011880,dka,False,False,lower 3 months,,
14,NCT02414958,Exclusion,additional may apply,Other,,,,,,,,
